"Timestamp","tracks","urls"
"2016/07/24 12:27:01 AM AST","Sam Feldt Ft. Heidi Rojas - Shadows Of Love (Gianni Kosta Remix)","https://soundcloud.com/giannikosta/sam-feldt-ft-heidi-rojas-shadows-of-love-gianni-kosta-remix"
"2016/07/24 12:27:02 AM AST","Just Chillax ft. Fréd - Enjoy The Flight","https://soundcloud.com/highonmusic1/just-chillax-ft-fred-enjoy-the-flight"
"2016/07/24 12:27:02 AM AST","We Turn The World Around (Radio Edit)","https://soundcloud.com/djtanjalacroix/we-turn-the-world-around-radio-edit"
"2016/07/24 12:27:03 AM AST","Androma - Molitor","https://soundcloud.com/andromamusic/androma-molitor"
"2016/07/24 12:27:04 AM AST","HONNE & Izzy Bizu - Someone That Loves You (Nick Talos Remix)","https://soundcloud.com/nicktalos/honne-remix"
"2016/07/24 12:27:05 AM AST","Ninjaneers- It Goes Like","https://soundcloud.com/johnfredmusic/ninjaneers-it-goes-like"
"2016/07/24 12:27:08 AM AST","KRONO & DeepMe Feat. Sara Houston - Starships [OUT NOW]","https://soundcloud.com/kronopage/krono-deepme-feat-sara-houston-starships-out-now"
"2016/07/24 12:27:09 AM AST","RÜFÜS - Brighter (Adam Foster's Dialect Edit)","https://soundcloud.com/dialectradioshow/rufus-brighter-adam-fosters-dialect-edit"
"2016/07/24 12:27:10 AM AST","FlicFlac - I See Fire /// Remix","https://soundcloud.com/flicflac/flicflac-i-see-fire-remix"
"2016/07/24 12:27:11 AM AST","MDWS - Heartbreak (Bergs Remix)","https://soundcloud.com/bergsofficial/mdws-heartbreak-bergs-remix-1"
"2016/07/24 12:27:12 AM AST","LYAR - Cool (ft. Matthew J. Kurz)","https://soundcloud.com/lyar/lyar-cool-ft-matthew-j-kurz"
"2016/07/24 12:27:12 AM AST","Hubba & Amanu - Moso (Radio Edit)[Exclusive Premiere][Free Download]","https://soundcloud.com/melodic-sounds/hubba-amanu-moso-radio-editexclusive-premierefree-download"
"2016/07/24 12:27:14 AM AST","Edward Maya & Vika Jigulina - Stereo Love (Focus Remix)  T ","https://soundcloud.com/touchedninspired/edward-maya-vika-jigulina-stereo-love-focus-remix-t-i-exclusive"
"2016/07/24 12:27:16 AM AST","Felice - Enough (ft. Enya Angel) (BRADLEY ALLAN REMIX)","https://soundcloud.com/bradleyallan/felice-enough-ft-enya-angel-bradley-allan-remix"
"2016/07/24 12:27:16 AM AST","Ember Island - Can't Feel My Face (Pegato Remix) [Free Download]","https://soundcloud.com/pegatomusic/ember-island-cant-feel-my-face-pegato-remix-free-download"
"2016/07/24 12:27:18 AM AST","Lulleaux ft. Duncan de Moor - Fade Into The Sun (Hibell Remix)","https://soundcloud.com/lulleaux/lulleaux-ft-duncan-de-moor-fade-into-the-sun-hibell-remix-radio-edit"
"2016/07/24 12:27:18 AM AST","Anthony Keyrouz - Aestas (Ft. Elsy & Light and Sax | SS Exclusive)","https://soundcloud.com/selectedsounds/anthony-keyrouz-aestas-ft-elsy-light-and-sax-ss-exclusive"
"2016/07/24 12:27:19 AM AST","Maggie Rogers - Alaska (SAXITY Remix)","https://soundcloud.com/descentintonice/maggie-rogers-alaska-saxity"
"2016/07/24 12:27:20 AM AST","Son Mieux - Even (Stone Van Brooken Remix) | Exclusive Premiere","https://soundcloud.com/riptidewave/son-mieux-even-remix"
"2016/07/24 12:27:21 AM AST","Be Bold (Matthew Heyer Remix)","https://soundcloud.com/tamcooperofficial/be-bold-mathew-hayer-remix"
"2016/07/24 12:27:22 AM AST","A R I Z O N A - I Was Wrong (PRNS Remix)","https://soundcloud.com/rhino-feroce/a-r-i-z-o-n-a-i-was-wrong-prns-remixfree-download"
"2016/07/24 12:27:22 AM AST","GAMPER & DADONI - Close To You (feat. Daniel Ahearn)","https://soundcloud.com/gamperdadoni/closetoyou"
"2016/07/24 12:27:23 AM AST","Be With You (feat. Sophie)","https://soundcloud.com/natio-1/be-with-you-feat-sophie"
"2016/07/24 12:27:24 AM AST","Ashworth - Second Guess  (Kav Verhouzer Remix)","https://soundcloud.com/kavverhouzer/secondguess"
"2016/07/24 12:27:25 AM AST","Roses & Revolutions - Take Me With You (Kiso Remix)","https://soundcloud.com/kisoarmicofficial/takemewithyou"
"2016/07/24 12:27:26 AM AST","J A S H - Summer Time Love (Nick Peters Remix)","https://soundcloud.com/intothewildrecords/j-a-s-h-summer-time-love-nick-peters-remix"
"2016/07/24 12:27:27 AM AST","Come Closer","https://soundcloud.com/klymvx/come-closer"
"2016/07/24 12:27:27 AM AST","Kiss Me (Radio Edit)","https://soundcloud.com/thaunermusic/kiss-me-radio-edit"
"2016/07/24 12:27:28 AM AST","TOITO - Fool (Vocal Mix)","https://soundcloud.com/tipsytortoise/fool"
"2016/07/24 12:27:29 AM AST","Lost And Found","https://soundcloud.com/iameklo/lost-and-found"
"2016/07/24 12:27:30 AM AST","MÖWE - Sunshine","https://soundcloud.com/m-we-1/mowe-sunshine"
"2016/07/24 12:27:31 AM AST","Mau Kilauea ft Sol - Holiday Romance (Original Mix)","https://soundcloud.com/maukilauea/mau-kilauea-ft-sol-holiday-romance-original-mix"
"2016/07/24 12:27:31 AM AST","John Adam - Sunshine (V.F. Avec Laurence Pagé)","https://soundcloud.com/hrmusicgroup/john-adam-sunshine-vf-avec-laurence-page-1"
